Date,CME_Actual_Price
2018-01-02,42.6648
2018-01-03,42.5898
2018-01-04,41.1198
2018-01-05,41.9247
2018-01-08,41.7747
2018-01-09,41.0648
2018-01-10,40.0549
2018-01-11,39.4549
2018-01-12,37.5549
2018-01-16,38.1049
2018-01-17,37.2549
2018-01-18,37.1049
2018-01-19,37.3049
2018-01-22,36.5413
2018-01-23,37.216
2018-01-24,35.2048
2018-01-25,35.085
2018-01-26,35.1196
2018-01-29,35.5289
2018-01-30,35.6329
2018-01-31,34.9829
2018-02-01,34.1027
2018-02-02,36.7378
2018-02-05,41.9856
2018-02-06,39.1735
2018-02-07,37.7741
2018-02-08,43.1149
2018-02-09,41.1205
2018-02-12,39.3511
2018-02-13,38.8462
2018-02-14,35.3669
2018-02-15,35.9617
2018-02-16,35.7323
2018-02-20,35.932
2018-02-21,36.0216
2018-02-22,36.9067
2018-02-23,33.6719
2018-02-26,32.373
2018-02-27,33.2815
2018-02-28,34.9567
2018-03-01,36.6724
2018-03-02,37.2622
2018-03-05,35.3175
2018-03-06,35.5274
2018-03-07,35.9026
2018-03-08,35.9279
2018-03-09,32.8126
2018-03-12,33.2475
2018-03-13,34.6378
2018-03-14,35.6878
2018-03-15,35.3428
2018-03-16,34.998
2018-03-19,36.6832
2018-03-20,35.6983
2018-03-21,35.7631
2018-03-22,40.8883
2018-03-23,43.6833
2018-03-26,39.3784
2018-03-27,42.7435
2018-03-28,42.5636
2018-03-29,39.6834
2018-04-02,42.7488
2018-04-03,41.5087
2018-04-04,38.834
2018-04-05,37.4587
2018-04-06,40.9287
2018-04-09,38.8636
2018-04-10,37.8735
2018-04-11,39.3738
2018-04-12,36.9636
2018-04-13,39.8889
2018-04-16,39.8392
2018-04-17,39.5846
2018-04-18,40.5994
2018-04-19,38.3343
2018-04-20,38.8843
2018-04-23,38.8593
2018-04-24,39.8895
2018-04-25,40.2846
2018-04-26,39.8296
2018-04-27,40.5145
2018-04-30,41.1596
2018-05-01,41.3546
2018-05-02,42.1698
2018-05-03,42.9697
2018-05-04,41.5448
2018-05-07,40.8748
2018-05-08,39.0735
2018-05-09,36.5282
2018-05-10,35.6881
2018-05-11,36.5235
2018-05-14,36.5285
2018-05-15,37.4936
2018-05-16,36.7538
2018-05-17,37.3939
2018-05-18,39.2139
2018-05-21,37.734
2018-05-22,36.4639
2018-05-23,37.8889
2018-05-24,38.0741
2018-05-25,39.5691
2018-05-29,44.1543
2018-05-30,41.9994
2018-05-31,43.1944
2018-06-01,41.9694
2018-06-04,42.4194
2018-06-05,43.1093
2018-06-06,40.0741
2018-06-07,39.5343
2018-06-08,39.079
2018-06-11,39.4642
2018-06-12,40.2441
2018-06-13,40.3241
2018-06-14,42.2593
2018-06-15,42.4244
2018-06-18,42.1593
2018-06-19,42.8944
2018-06-20,42.9444
2018-06-21,42.6994
2018-06-22,44.5842
2018-06-25,45.6592
2018-06-26,45.9142
2018-06-27,47.1093
2018-06-28,45.1191
2018-06-29,45.4043
2018-07-02,45.7244
2018-07-03,46.4346
2018-07-05,46.2444
2018-07-06,45.9546
2018-07-09,43.029
2018-07-10,43.3339
2018-07-11,43.5339
2018-07-12,43.2987
2018-07-13,43.6642
2018-07-16,39.8991
2018-07-17,39.3941
2018-07-18,37.7892
2018-07-19,40.0592
2018-07-20,38.8141
2018-07-23,36.4738
2018-07-24,35.7238
2018-07-25,35.1988
2018-07-26,35.2988
2018-07-27,34.7136
2018-07-30,33.8285
2018-07-31,35.3937
2018-08-01,34.7287
2018-08-02,34.4788
2018-08-03,32.4988
2018-08-06,33.4337
